EXPECTED_PACE,SUM_ORTG_30,SUM_DRTG_30,SUM_EFG_30,SUM_FT_RATE_30,SUM_PTS_30,SUM_PTS_10,PACE_X_EFG,TOTAL,GAME_DATE,HOME_TEAM,AWAY_TEAM
98.02975,220.68468435297393,211.2367093468921,1.070455145143514,0.40965557142993597,215.925,211.57142857142856,104.9364502646324,196,2022-02-12,PHI,CLE
100.56125,217.07871765703715,215.9940832947688,1.0539843380801783,0.37331847105632276,218.075,224.57142857142856,105.98998251776534,237,2022-02-12,PHX,ORL
100.33574999999999,216.437347381996,228.35069828024373,1.0489233567654654,0.4033394063270117,217.175,212.71428571428572,105.24451169358053,233,2022-02-12,WAS,SAC
101.43225,220.8448560012328,225.19999560670368,1.0531258113175073,0.3859098747998404,225.175,235.28571428571428,106.82092057501022,249,2022-02-13,IND,MIN
98.93875,224.64967756517336,216.8840362406449,1.075896007522307,0.40921429609540616,221.64999999999998,229.85714285714286,106.44780611424764,200,2022-02-13,BOS,ATL
100.78325,223.548860969498,226.622806546017,1.1029783616077773,0.42704850570123004,225.3,221.28571428571428,111.16174396250702,236,2022-02-14,UTA,HOU
100.25299999999999,210.75785076673128,226.6117535888239,1.0125836207176673,0.4037399438581444,210.925,204.28571428571428,101.51454572780828,197,2022-02-14,WAS,DET
98.984,219.7187462932834,218.9590181835493,1.0335144215251075,0.3917520435589223,217.77499999999998,228.28571428571428,102.30139150024124,210,2022-02-14,NOP,TOR
100.14,215.57236265030545,222.73481782910545,1.0648230644700447,0.3742098029047322,216.275,220.14285714285714,106.63138167603027,232,2022-02-14,DEN,ORL
100.27600000000001,221.11802003871736,222.49409892557648,1.0700232660529267,0.3970439591523457,221.8,219.57142857142856,107.2976530267233,229,2022-02-14,MIL,POR
101.47325000000001,220.04098893859924,227.64314037092407,1.0568218986888804,0.3907809148274355,223.175,219.42857142857144,107.23915273113144,194,2022-02-14,BKN,SAC
100.95925,225.355152989008,223.33454738134822,1.0870512099602534,0.35739170399346865,227.475,234.71428571428572,109.74787486917971,229,2022-02-14,CHI,SAS
