Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
359,Trayce Jackson-Davis,25,TOR,C,7,0,35,28.4,.565,.000,1.250,37.9,22.8,30.5,7.5,2.8,5.6,7.5,16.4,0.1,0.1,0.2,.302,6.0,-1.3,4.7,0.1,,jackstr02
360,Asa Newell,20,ATL,PF,40,1,445,13.6,.628,.463,.168,8.9,10.8,9.8,6.3,1.6,2.6,11.6,17.0,0.5,0.4,0.9,.099,-1.4,-0.7,-2.0,0.0,,newelas01
361,Tyrese Proctor,21,CLE,PG,42,1,436,10.3,.530,.605,.164,1.5,9.3,5.4,17.2,1.9,0.0,12.5,20.8,0.1,0.4,0.4,.048,-3.1,-0.6,-3.7,-0.2,,proctty01
362,Grant Williams,27,CHO,PF,22,3,436,14.5,.629,.729,.314,7.9,15.7,11.9,13.2,1.0,1.5,11.2,14.6,1.0,0.4,1.4,.154,1.6,0.5,2.1,0.5,,willigr01
363,Mohamed Diawara,20,NYK,SF,54,6,435,11.5,.588,.646,.082,2.8,14.6,8.6,10.0,1.6,1.4,12.1,16.9,0.3,0.5,0.8,.093,-1.0,0.7,-0.3,0.2,,diawamo01
364,Moussa Cisse,23,DAL,C,34,1,425,14.8,.567,.000,.795,17.1,24.0,20.7,2.5,1.3,7.3,18.2,13.6,0.2,0.7,1.0,.110,-4.0,1.0,-3.0,-0.1,,cissemo01
365,Yanic Konan Niederhäuser,22,LAC,C,41,0,424,16.5,.691,.050,.620,10.5,21.2,16.1,4.2,0.6,6.7,15.3,15.7,0.8,0.5,1.3,.152,-2.5,0.3,-2.2,0.0,,konanya01
366,Tony Bradley,28,IND,C,38,3,416,13.1,.604,.019,.406,14.1,13.8,13.9,6.9,0.7,1.4,12.0,14.4,0.7,0.2,0.9,.103,-2.4,-1.7,-4.1,-0.2,,bradlto01
367,Amir Coffey,28,2TM,SG,40,2,415,10.3,.590,.446,.304,4.2,9.2,6.7,7.2,0.8,0.9,4.6,11.5,0.6,0.2,0.8,.089,-2.2,-1.1,-3.3,-0.1,,coffeam01
367,Amir Coffey,28,MIL,SG,30,2,265,8.4,.584,.455,.273,2.6,8.4,5.5,5.5,0.6,1.1,6.1,10.9,0.2,0.1,0.3,.053,-3.2,-2.0,-5.3,-0.2,,coffeam01
367,Amir Coffey,28,PHO,SG,10,0,150,13.5,.597,.432,.351,7.1,10.6,8.8,10.1,1.3,0.6,2.3,12.4,0.4,0.1,0.5,.153,-0.3,0.5,0.2,0.1,,coffeam01
